,SRR3917608,SRR3736988,SRR3736989,SRR3917587,SRR3917627,SRR3917619,SRR3736999,SRR3736998,SRR3737029,SRR3737001,SRR3737015,SRR3917694,SRR3730381,SRR3730395,SRR3730356,SRR3730357,SRR3730394,SRR3730380,SRR3917695,SRR3737014,SRR3737000,SRR3737028,SRR3737016,SRR3737002,SRR3917697,SRR3730396,SRR3730382,SRR3730355,SRR3730369,SRR3730368,SRR3730354,SRR3730383,SRR3730397,SRR3917696,SRR3737003,SRR3737017,SRR3737013,SRR3737007,SRR3917686,SRR3917692,SRR3730393,SRR3730387,SRR3730378,SRR3730350,SRR3730345,SRR3730351,SRR3730379,SRR3730386,SRR3730392,SRR3917693,SRR3917687,SRR3737006,SRR3737012,SRR3737004,SRR3737010,SRR3917691,SRR3730384,SRR3730390,SRR3730347,SRR3730353,SRR3730352,SRR3730346,SRR3730391,SRR3730385,SRR3917690,SRR3737011,SRR3737005,SRR3737020,SRR3917689,SRR3730388,SRR3730363,SRR3730377,SRR3730376,SRR3730362,SRR3730389,SRR3917688,SRR3737021,SRR3737009,SRR3737023,SRR3730374,SRR3730360,SRR3730348,SRR3730349,SRR3730361,SRR3730375,SRR3917648,SRR3737022,SRR3737026,SRR3730359,SRR3730371,SRR3730365,SRR3730364,SRR3730370,SRR3730358,SRR3917665,SRR3737025,SRR3737031,SRR3917698,SRR3730399,SRR3730400,SRR3730366,SRR3730372,SRR3730373,SRR3730367,SRR3730398,SRR3737018,SRR3737030,SRR3737024,SRR3917563,SRR3736995,SRR3736994,SRR3917562,SRR3736996,SRR3736997,SRR3736987,SRR3736993,SRR3736986,SRR3736990,SRR3736984,SRR3736985,SRR3736991
1034346,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,0,47,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,4,0,67,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,17,35,0,1,2,0,0,0,7,2,27,0,1,0,0,0,3,0,0
1807752,0,0,9,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,3020,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,123,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1709,0,0,1,0
626937,3,1,2,4,7,2,13,33,2,4,1,7,0,0,0,0,0,0,0,1,12,17,0,58,1,0,0,0,0,0,0,0,0,9,3,28,5,1,145,40,0,0,0,0,0,0,0,0,0,15,1,17,25,29,16,8,0,0,0,0,0,0,0,0,8,0,71,54,12,0,0,0,0,0,0,10,33,5,7,0,0,0,0,0,0,11,2,41,0,0,0,0,0,0,2,9,1,23,0,0,0,0,0,0,0,3,10,23,2,2,19,21,9,23,4,2,21,11,6,3,14
1952030,17,12,4,9,5,4,3,3,3,3,4,3,0,0,0,0,0,0,2,19,6,3,0,5,8,0,0,0,0,0,0,0,0,13,4,2,11,2,4,2,0,0,0,0,0,0,0,0,0,1,4,3,3,2,12,3,0,0,0,0,0,0,0,0,5,4,2,2,8,0,0,0,0,0,0,2,3,5,3,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,2,3,5,5,0,0,0,0,0,0,0,3,14,3,3,5,3,5,4,9,9,4,7,4,6,5,3
1952106,0,1,2,21,7,1,2,3,2,1,1,2,0,0,0,0,0,0,1,1,1,2,0,19,5,0,0,0,0,0,0,0,0,2,2,147,27,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,4,1,4,2,0,0,0,0,0,0,33,1,1,48,0,0,0,0,0,0,245,2,1,0,0,0,0,0,0,1,2,3,5,0,0,0,0,0,0,0,2,2,2,1,2,2,1,163,26,21,4,9,4,1,2,115
1616781,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,10,0,0,3,3,2,23,0,1,0,0,0,0,0,0,4,21,0,0,10,0,6,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,2,2,4,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
97478,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,0,0,0,0,6,0,0,2,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,4,4,3,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1841865,35,10,63,5,11,21,17,1,2,3,17,14,0,0,0,0,0,0,1,11,16,8,0,8,2,0,0,0,0,0,0,0,0,1,4,30,9,0,4,1,0,0,0,0,0,0,0,0,0,1,4,9,12,1,1,46,0,0,0,0,0,0,0,0,44,10,1,4,1,0,0,0,0,0,0,77,3,6,49,0,0,0,0,0,0,22,5,1,0,0,0,0,0,0,10,31,18,16,0,0,0,0,0,0,0,7,1,1,16,4,3,6,33,30,7,3,17,25,4,3,28
1952424,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,10,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,1,2,0,1,1,1,1,5,19,3,1,22,1,0,1,1
402877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
